"idade","sexo","est_civil","raca","escola","lingua_estr","nota_CN","nota_CH","nota_LC","nota_MT","nota_RD","ESC_pai","ESC_mae","renda_fam"
68,"F","casado","pardo","não espondeu",1,490.2,511.5,541.6,565.4,600,"não","não","B"
20,"F","divorciado","branco","não espondeu",0,512.4,544.9,559.7,554,800,"sim","não","B"
36,"F","solteiro","branco","não espondeu",0,610.1,502.4,607.7,548.7,740,"não","sim","C"
19,"M","solteiro","pardo","pública",0,NA,NA,NA,NA,NA,"não","não","C"
19,"F","solteiro","branco","pública",0,617,656.5,622.4,730.5,860,"não","sim","G"
25,"F","solteiro","negro","não espondeu",1,636.7,608.8,582.3,500.6,980,"não","não","B"
30,"M","divorciado","pardo","não espondeu",0,590,554.4,558,642.6,720,"não","não","I"
38,"F","divorciado","pardo","não espondeu",1,460.4,525.6,509,488.7,540,"não","não","B"
20,"F","solteiro","pardo","não espondeu",0,495.7,460,571.5,506.2,580,"não","não","C"
19,"F","solteiro","negro","não espondeu",0,534.3,514,567.2,549.2,860,"sim","sim","H"
19,"F","solteiro","negro","não espondeu",1,NA,NA,NA,NA,NA,"não sabe","não","C"
21,"F","solteiro","branco","não espondeu",1,365.2,510,570.6,596.4,560,"não","não","A"
23,"F","solteiro","pardo","não espondeu",0,593.5,589.1,604.1,660.1,740,"não","não","C"
19,"F","solteiro","pardo","não espondeu",1,521.9,519.1,516.5,535.7,780,"não","não","G"
27,"F","solteiro","pardo","não espondeu",0,396.2,530.1,517.3,453.8,620,"não","não","D"
31,"F","solteiro","pardo","não espondeu",1,473,533.9,552.4,405.8,420,"não","não","E"
37,"F","solteiro","branco","pública",0,519.9,532.2,541.2,437.7,500,"não","não sabe","C"
20,"M","solteiro","pardo","não espondeu",0,NA,NA,NA,NA,NA,"sim","sim","I"
17,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","B"
17,"F","solteiro","branco","pública",0,490.7,574.7,566.9,584.5,800,"não","não","G"
21,"M","solteiro","branco","não espondeu",0,566.3,592.7,621.9,610.3,820,"sim","sim","M"
19,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","sim","G"
22,"F","solteiro","negro","não espondeu",0,484.6,543.6,519.4,612.2,480,"não","não","D"
26,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
43,"M","solteiro","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","N"
55,"F","solteiro","negro","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
33,"M","solteiro","negro","não espondeu",0,NA,NA,NA,NA,NA,"não","não","G"
28,"M","solteiro","branco","não espondeu",1,481.7,444.6,586.7,496.8,380,"não","não","C"
18,"M","solteiro","branco","privada",0,439,513,540.5,553.2,460,"sim","sim","J"
25,"F","NI","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","B"
19,"F","solteiro","pardo","não espondeu",1,423.2,520.5,514.1,482.4,600,"não","não","C"
